Train Acc.: 0.8503 | Test Acc.: 0.8476
Epoch: 073/200   | Learning Rate 0.001000
Train Auc.: 0.9363 | Test Auc.: 0.9329
Train Loss.: 0.1183 | Test Loss.: 0.1209
Train Acc.: 0.8531 | Test Acc.: 0.8476
Epoch: 074/200   | Learning Rate 0.001000
Train Auc.: 0.9377 | Test Auc.: 0.9365
Train Loss.: 0.1077 | Test Loss.: 0.1093
Train Acc.: 0.8633 | Test Acc.: 0.8621
Epoch: 075/200   | Learning Rate 0.001000
Train Auc.: 0.9356 | Test Auc.: 0.9362
Train Loss.: 0.1098 | Test Loss.: 0.1099
Train Acc.: 0.8602 | Test Acc.: 0.8582
Epoch: 076/200   | Learning Rate 0.001000
Train Auc.: 0.9401 | Test Auc.: 0.9386
Train Loss.: 0.1190 | Test Loss.: 0.1205
Train Acc.: 0.8458 | Test Acc.: 0.8433
Epoch: 077/200   | Learning Rate 0.001000
Train Auc.: 0.9403 | Test Auc.: 0.9371
Train Loss.: 0.1107 | Test Loss.: 0.1139
Train Acc.: 0.8552 | Test Acc.: 0.8485
Epoch: 078/200   | Learning Rate 0.001000
Train Auc.: 0.9399 | Test Auc.: 0.9354
Train Loss.: 0.1225 | Test Loss.: 0.1262
Train Acc.: 0.8360 | Test Acc.: 0.8302
Epoch: 079/200   | Learning Rate 0.001000
Train Auc.: 0.9335 | Test Auc.: 0.9306
Train Loss.: 0.1122 | Test Loss.: 0.1146
Train Acc.: 0.8518 | Test Acc.: 0.8486
Epoch: 080/200   | Learning Rate 0.001000
Train Auc.: 0.9367 | Test Auc.: 0.9332
Train Loss.: 0.1087 | Test Loss.: 0.1115
Train Acc.: 0.8591 | Test Acc.: 0.8558
Epoch: 081/200   | Learning Rate 0.001000
Train Auc.: 0.9395 | Test Auc.: 0.9358
Train Loss.: 0.1114 | Test Loss.: 0.1148
Train Acc.: 0.8577 | Test Acc.: 0.8497
Epoch: 082/200   | Learning Rate 0.001000
Train Auc.: 0.9405 | Test Auc.: 0.9376
Train Loss.: 0.1078 | Test Loss.: 0.1102
Train Acc.: 0.8631 | Test Acc.: 0.8620
Epoch: 083/200   | Learning Rate 0.001000
Train Auc.: 0.9432 | Test Auc.: 0.9386
Train Loss.: 0.1133 | Test Loss.: 0.1165
Train Acc.: 0.8638 | Test Acc.: 0.8573
Epoch: 084/200   | Learning Rate 0.001000
Train Auc.: 0.9447 | Test Auc.: 0.9417
Train Loss.: 0.1047 | Test Loss.: 0.1074
Train Acc.: 0.8717 | Test Acc.: 0.8653
Epoch: 085/200   | Learning Rate 0.001000
Train Auc.: 0.9390 | Test Auc.: 0.9360
Train Loss.: 0.1178 | Test Loss.: 0.1203
Train Acc.: 0.8557 | Test Acc.: 0.8483
Epoch: 086/200   | Learning Rate 0.001000
Train Auc.: 0.9431 | Test Auc.: 0.9409
Train Loss.: 0.1109 | Test Loss.: 0.1125
Train Acc.: 0.8659 | Test Acc.: 0.8624
Epoch: 087/200   | Learning Rate 0.001000
Train Auc.: 0.9405 | Test Auc.: 0.9366
Train Loss.: 0.1086 | Test Loss.: 0.1113
Train Acc.: 0.8674 | Test Acc.: 0.8636
Epoch: 088/200   | Learning Rate 0.001000
Train Auc.: 0.9400 | Test Auc.: 0.9370
Train Loss.: 0.1059 | Test Loss.: 0.1085
Train Acc.: 0.8672 | Test Acc.: 0.8615
Epoch: 089/200   | Learning Rate 0.001000
Train Auc.: 0.9416 | Test Auc.: 0.9376
Train Loss.: 0.1057 | Test Loss.: 0.1089
Train Acc.: 0.8630 | Test Acc.: 0.8584
Epoch: 090/200   | Learning Rate 0.001000
Train Auc.: 0.9388 | Test Auc.: 0.9367
Train Loss.: 0.1123 | Test Loss.: 0.1147
Train Acc.: 0.8562 | Test Acc.: 0.8494
Epoch: 091/200   | Learning Rate 0.001000
Train Auc.: 0.9379 | Test Auc.: 0.9355
Train Loss.: 0.1189 | Test Loss.: 0.1220
Train Acc.: 0.8455 | Test Acc.: 0.8400
Epoch: 092/200   | Learning Rate 0.001000
Train Auc.: 0.9422 | Test Auc.: 0.9387
Train Loss.: 0.1043 | Test Loss.: 0.1075
Train Acc.: 0.8684 | Test Acc.: 0.8625
Epoch: 093/200   | Learning Rate 0.001000
Train Auc.: 0.9422 | Test Auc.: 0.9405
Train Loss.: 0.1047 | Test Loss.: 0.1067
Train Acc.: 0.8658 | Test Acc.: 0.8629
Epoch: 094/200   | Learning Rate 0.001000
Train Auc.: 0.9406 | Test Auc.: 0.9385
Train Loss.: 0.1053 | Test Loss.: 0.1075
Train Acc.: 0.8631 | Test Acc.: 0.8576
Epoch: 095/200   | Learning Rate 0.001000
Train Auc.: 0.9421 | Test Auc.: 0.9401
Train Loss.: 0.1040 | Test Loss.: 0.1062
Train Acc.: 0.8646 | Test Acc.: 0.8628
Epoch: 096/200   | Learning Rate 0.001000
Train Auc.: 0.9437 | Test Auc.: 0.9397
Train Loss.: 0.1036 | Test Loss.: 0.1069
Train Acc.: 0.8708 | Test Acc.: 0.8595
Epoch: 097/200   | Learning Rate 0.001000
Train Auc.: 0.9428 | Test Auc.: 0.9398
Train Loss.: 0.1057 | Test Loss.: 0.1086
Train Acc.: 0.8665 | Test Acc.: 0.8620
Epoch: 098/200   | Learning Rate 0.001000
Train Auc.: 0.9420 | Test Auc.: 0.9378
Train Loss.: 0.1103 | Test Loss.: 0.1137
Train Acc.: 0.8622 | Test Acc.: 0.8588
Epoch: 099/200   | Learning Rate 0.001000
Train Auc.: 0.9424 | Test Auc.: 0.9420
Train Loss.: 0.1045 | Test Loss.: 0.1053
Train Acc.: 0.8685 | Test Acc.: 0.8661
Epoch: 100/200   | Learning Rate 0.001000
Train Auc.: 0.9429 | Test Auc.: 0.9403
Train Loss.: 0.1035 | Test Loss.: 0.1060
Train Acc.: 0.8709 | Test Acc.: 0.8665
Epoch: 101/200   | Learning Rate 0.000900
Train Auc.: 0.9422 | Test Auc.: 0.9391
Train Loss.: 0.1083 | Test Loss.: 0.1109
Train Acc.: 0.8650 | Test Acc.: 0.8618
Epoch: 102/200   | Learning Rate 0.000900
Train Auc.: 0.9425 | Test Auc.: 0.9407
Train Loss.: 0.1052 | Test Loss.: 0.1073
Train Acc.: 0.8705 | Test Acc.: 0.8634
Epoch: 103/200   | Learning Rate 0.000900
Train Auc.: 0.9421 | Test Auc.: 0.9394
Train Loss.: 0.1043 | Test Loss.: 0.1068
Train Acc.: 0.8689 | Test Acc.: 0.8616
Epoch: 104/200   | Learning Rate 0.000900
Train Auc.: 0.9422 | Test Auc.: 0.9404
Train Loss.: 0.1050 | Test Loss.: 0.1074
Train Acc.: 0.8640 | Test Acc.: 0.8589
Epoch: 105/200   | Learning Rate 0.000900
Train Auc.: 0.9412 | Test Auc.: 0.9369
Train Loss.: 0.1054 | Test Loss.: 0.1089
Train Acc.: 0.8705 | Test Acc.: 0.8591
Epoch: 106/200   | Learning Rate 0.000900
Train Auc.: 0.9417 | Test Auc.: 0.9385
Train Loss.: 0.1072 | Test Loss.: 0.1105
Train Acc.: 0.8618 | Test Acc.: 0.8556
Epoch: 107/200   | Learning Rate 0.000900
Train Auc.: 0.9406 | Test Auc.: 0.9381
Train Loss.: 0.1072 | Test Loss.: 0.1097
Train Acc.: 0.8578 | Test Acc.: 0.8508
Epoch: 108/200   | Learning Rate 0.000900
Train Auc.: 0.9434 | Test Auc.: 0.9404
Train Loss.: 0.1039 | Test Loss.: 0.1065
Train Acc.: 0.8662 | Test Acc.: 0.8659
Epoch: 109/200   | Learning Rate 0.000900
Train Auc.: 0.9461 | Test Auc.: 0.9431
Train Loss.: 0.1012 | Test Loss.: 0.1038
Train Acc.: 0.8758 | Test Acc.: 0.8698
Epoch: 110/200   | Learning Rate 0.000900
Train Auc.: 0.9424 | Test Auc.: 0.9394
Train Loss.: 0.1060 | Test Loss.: 0.1089
Train Acc.: 0.8642 | Test Acc.: 0.8615
Epoch: 111/200   | Learning Rate 0.000900
Train Auc.: 0.9443 | Test Auc.: 0.9410
Train Loss.: 0.1057 | Test Loss.: 0.1084
Train Acc.: 0.8678 | Test Acc.: 0.8627
Epoch: 112/200   | Learning Rate 0.000900
Train Auc.: 0.9409 | Test Auc.: 0.9394
Train Loss.: 0.1058 | Test Loss.: 0.1078
Train Acc.: 0.8685 | Test Acc.: 0.8650
Epoch: 113/200   | Learning Rate 0.000900
Train Auc.: 0.9437 | Test Auc.: 0.9419
Train Loss.: 0.1056 | Test Loss.: 0.1075
Train Acc.: 0.8706 | Test Acc.: 0.8669
Epoch: 114/200   | Learning Rate 0.000900
Train Auc.: 0.9432 | Test Auc.: 0.9392
Train Loss.: 0.1039 | Test Loss.: 0.1072
Train Acc.: 0.8708 | Test Acc.: 0.8661
Epoch: 115/200   | Learning Rate 0.000900
Train Auc.: 0.9416 | Test Auc.: 0.9391
Train Loss.: 0.1074 | Test Loss.: 0.1101
Train Acc.: 0.8625 | Test Acc.: 0.8580
Epoch: 116/200   | Learning Rate 0.000900
Train Auc.: 0.9413 | Test Auc.: 0.9376
Train Loss.: 0.1052 | Test Loss.: 0.1085
Train Acc.: 0.8640 | Test Acc.: 0.8588
Epoch: 117/200   | Learning Rate 0.000900
Train Auc.: 0.9438 | Test Auc.: 0.9411
Train Loss.: 0.1034 | Test Loss.: 0.1060
Train Acc.: 0.8679 | Test Acc.: 0.8626
Epoch: 118/200   | Learning Rate 0.000900
Train Auc.: 0.9446 | Test Auc.: 0.9427
Train Loss.: 0.1023 | Test Loss.: 0.1044
Train Acc.: 0.8701 | Test Acc.: 0.8688
Epoch: 119/200   | Learning Rate 0.000900
Train Auc.: 0.9440 | Test Auc.: 0.9416
Train Loss.: 0.1030 | Test Loss.: 0.1057
Train Acc.: 0.8732 | Test Acc.: 0.8655
Epoch: 120/200   | Learning Rate 0.000900
Train Auc.: 0.9454 | Test Auc.: 0.9428
Train Loss.: 0.1013 | Test Loss.: 0.1040
Train Acc.: 0.8731 | Test Acc.: 0.8692
Epoch: 121/200   | Learning Rate 0.000900
Train Auc.: 0.9433 | Test Auc.: 0.9393
Train Loss.: 0.1038 | Test Loss.: 0.1069
Train Acc.: 0.8710 | Test Acc.: 0.8647
Epoch: 122/200   | Learning Rate 0.000900
Train Auc.: 0.9444 | Test Auc.: 0.9432
Train Loss.: 0.1037 | Test Loss.: 0.1054
Train Acc.: 0.8731 | Test Acc.: 0.8698
Epoch: 123/200   | Learning Rate 0.000900
Train Auc.: 0.9423 | Test Auc.: 0.9401
Train Loss.: 0.1036 | Test Loss.: 0.1058
Train Acc.: 0.8695 | Test Acc.: 0.8640
Epoch: 124/200   | Learning Rate 0.000900
