Train Acc.: 0.7610 | Test Acc.: 0.7524
Epoch: 091/200   | Learning Rate 0.001000
Train Auc.: 0.9233 | Test Auc.: 0.9204
Train Loss.: 0.1275 | Test Loss.: 0.1295
Train Acc.: 0.8308 | Test Acc.: 0.8263
Epoch: 092/200   | Learning Rate 0.001000
Train Auc.: 0.9005 | Test Auc.: 0.8972
Train Loss.: 0.1477 | Test Loss.: 0.1500
Train Acc.: 0.8199 | Test Acc.: 0.8175
Epoch: 093/200   | Learning Rate 0.001000
Train Auc.: 0.8418 | Test Auc.: 0.8367
Train Loss.: 0.2259 | Test Loss.: 0.2310
Train Acc.: 0.6099 | Test Acc.: 0.6036
Epoch: 094/200   | Learning Rate 0.001000
Train Auc.: 0.9320 | Test Auc.: 0.9269
Train Loss.: 0.1325 | Test Loss.: 0.1348
Train Acc.: 0.8358 | Test Acc.: 0.8338
Epoch: 095/200   | Learning Rate 0.001000
Train Auc.: 0.9273 | Test Auc.: 0.9220
Train Loss.: 0.1268 | Test Loss.: 0.1306
Train Acc.: 0.8308 | Test Acc.: 0.8221
Epoch: 096/200   | Learning Rate 0.001000
Train Auc.: 0.8306 | Test Auc.: 0.8209
Train Loss.: 0.1976 | Test Loss.: 0.2024
Train Acc.: 0.6780 | Test Acc.: 0.6683
Epoch: 097/200   | Learning Rate 0.001000
Train Auc.: 0.9207 | Test Auc.: 0.9168
Train Loss.: 0.1587 | Test Loss.: 0.1606
Train Acc.: 0.7704 | Test Acc.: 0.7678
Epoch: 098/200   | Learning Rate 0.001000
Train Auc.: 0.8649 | Test Auc.: 0.8597
Train Loss.: 0.1843 | Test Loss.: 0.1850
Train Acc.: 0.7182 | Test Acc.: 0.7132
Epoch: 099/200   | Learning Rate 0.001000
Train Auc.: 0.9249 | Test Auc.: 0.9238
Train Loss.: 0.1425 | Test Loss.: 0.1422
Train Acc.: 0.8132 | Test Acc.: 0.8137
Epoch: 100/200   | Learning Rate 0.001000
Train Auc.: 0.9039 | Test Auc.: 0.8990
Train Loss.: 0.1451 | Test Loss.: 0.1477
Train Acc.: 0.8165 | Test Acc.: 0.8117
Epoch: 101/200   | Learning Rate 0.000900
Train Auc.: 0.8937 | Test Auc.: 0.8891
Train Loss.: 0.1619 | Test Loss.: 0.1635
Train Acc.: 0.8075 | Test Acc.: 0.8009
Epoch: 102/200   | Learning Rate 0.000900
Train Auc.: 0.9427 | Test Auc.: 0.9390
Train Loss.: 0.2273 | Test Loss.: 0.2295
Train Acc.: 0.6837 | Test Acc.: 0.6798
Epoch: 103/200   | Learning Rate 0.000900
Train Auc.: 0.9388 | Test Auc.: 0.9364
Train Loss.: 0.2012 | Test Loss.: 0.2018
Train Acc.: 0.6867 | Test Acc.: 0.6817
Epoch: 104/200   | Learning Rate 0.000900
Train Auc.: 0.9282 | Test Auc.: 0.9223
Train Loss.: 0.1411 | Test Loss.: 0.1437
Train Acc.: 0.8366 | Test Acc.: 0.8305
Epoch: 105/200   | Learning Rate 0.000900
Train Auc.: 0.9206 | Test Auc.: 0.9158
Train Loss.: 0.1301 | Test Loss.: 0.1330
Train Acc.: 0.8416 | Test Acc.: 0.8355
Epoch: 106/200   | Learning Rate 0.000900
Train Auc.: 0.9269 | Test Auc.: 0.9227
Train Loss.: 0.1280 | Test Loss.: 0.1315
Train Acc.: 0.8394 | Test Acc.: 0.8350
Epoch: 107/200   | Learning Rate 0.000900
