Train Auc.: 0.9300 | Test Auc.: 0.9304
Train Loss.: 0.1279 | Test Loss.: 0.1273
Train Acc.: 0.8281 | Test Acc.: 0.8334
Epoch: 068/200   | Learning Rate 0.001000
Train Auc.: 0.9348 | Test Auc.: 0.9331
Train Loss.: 0.1188 | Test Loss.: 0.1199
Train Acc.: 0.8394 | Test Acc.: 0.8359
Epoch: 069/200   | Learning Rate 0.001000
Train Auc.: 0.9297 | Test Auc.: 0.9272
Train Loss.: 0.1199 | Test Loss.: 0.1217
Train Acc.: 0.8375 | Test Acc.: 0.8280
Epoch: 070/200   | Learning Rate 0.001000
Train Auc.: 0.9366 | Test Auc.: 0.9328
Train Loss.: 0.1177 | Test Loss.: 0.1188
Train Acc.: 0.8418 | Test Acc.: 0.8433
Epoch: 071/200   | Learning Rate 0.001000
Train Auc.: 0.9346 | Test Auc.: 0.9331
Train Loss.: 0.1118 | Test Loss.: 0.1126
Train Acc.: 0.8507 | Test Acc.: 0.8463
Epoch: 072/200   | Learning Rate 0.001000
Train Auc.: 0.9369 | Test Auc.: 0.9342
Train Loss.: 0.1108 | Test Loss.: 0.1124
Train Acc.: 0.8565 | Test Acc.: 0.8486
Epoch: 073/200   | Learning Rate 0.001000
Train Auc.: 0.9377 | Test Auc.: 0.9367
Train Loss.: 0.1088 | Test Loss.: 0.1099
Train Acc.: 0.8625 | Test Acc.: 0.8611
Epoch: 074/200   | Learning Rate 0.001000
Train Auc.: 0.9360 | Test Auc.: 0.9361
Train Loss.: 0.1134 | Test Loss.: 0.1138
Train Acc.: 0.8554 | Test Acc.: 0.8626
Epoch: 075/200   | Learning Rate 0.001000
Train Auc.: 0.9301 | Test Auc.: 0.9285
Train Loss.: 0.1417 | Test Loss.: 0.1436
Train Acc.: 0.8267 | Test Acc.: 0.8235
Epoch: 076/200   | Learning Rate 0.001000
Train Auc.: 0.9398 | Test Auc.: 0.9350
Train Loss.: 0.1148 | Test Loss.: 0.1190
Train Acc.: 0.8614 | Test Acc.: 0.8515
Epoch: 077/200   | Learning Rate 0.001000
Train Auc.: 0.9410 | Test Auc.: 0.9373
Train Loss.: 0.1076 | Test Loss.: 0.1100
Train Acc.: 0.8676 | Test Acc.: 0.8642
Epoch: 078/200   | Learning Rate 0.001000
Train Auc.: 0.9355 | Test Auc.: 0.9347
Train Loss.: 0.1099 | Test Loss.: 0.1111
Train Acc.: 0.8545 | Test Acc.: 0.8599
Epoch: 079/200   | Learning Rate 0.001000
Train Auc.: 0.9357 | Test Auc.: 0.9361
Train Loss.: 0.1103 | Test Loss.: 0.1106
Train Acc.: 0.8609 | Test Acc.: 0.8599
Epoch: 080/200   | Learning Rate 0.001000
Train Auc.: 0.9368 | Test Auc.: 0.9340
Train Loss.: 0.1108 | Test Loss.: 0.1138
Train Acc.: 0.8570 | Test Acc.: 0.8547
Epoch: 081/200   | Learning Rate 0.001000
